Date,Product,Region,Sales,Temperature,Rainfall,Holiday,Holiday_Name,Inventory,TransportTime,Urban
2021-01-03,Tomatoes,California,515.91,20.2,12.6,1,New Year,338.45,3,1
2021-01-03,Tomatoes,Florida,485.38,18.4,11.7,1,New Year,312.03,4,1
2021-01-03,Avocados,California,388.75,19.0,6.5,1,New Year,398.37,1,1
2021-01-03,Avocados,Florida,248.26,21.4,19.7,1,New Year,196.65,4,1
2021-01-03,Bananas,California,466.74,22.4,22.2,1,New Year,255.05,3,1
2021-01-03,Bananas,Florida,578.62,23.6,16.3,1,New Year,834.48,3,0
2021-01-03,Eggs,California,769.78,19.7,6.4,1,New Year,478.83,1,0
2021-01-03,Eggs,Florida,843.37,23.3,5.0,1,New Year,575.37,3,1
2021-01-03,Corn,California,310.19,16.4,0.0,1,New Year,442.53,3,0
2021-01-03,Corn,Florida,347.23,24.1,13.6,1,New Year,308.57,3,1
2021-01-03,Coconuts,California,150.83,20.9,1.8,1,New Year,120.11,1,1
2021-01-03,Coconuts,Florida,244.15,26.2,25.5,1,New Year,300.06,2,1
2021-01-10,Tomatoes,California,388.33,22.4,4.9,0,None,338.16,2,1
2021-01-10,Tomatoes,Florida,309.19,26.9,30.2,0,None,428.91,2,1
2021-01-10,Avocados,California,292.24,23.0,6.3,0,None,274.51,3,1
2021-01-10,Avocados,Florida,241.49,20.2,27.0,0,None,243.56,3,1
2021-01-10,Bananas,California,472.79,27.5,17.5,0,None,652.67,2,0
2021-01-10,Bananas,Florida,511.89,27.2,19.9,0,None,667.34,3,0
2021-01-10,Eggs,California,501.98,19.5,13.0,0,None,387.59,3,1
2021-01-10,Eggs,Florida,517.53,25.4,19.2,0,None,262.36,4,1
2021-01-10,Corn,California,209.63,19.7,11.7,0,None,172.56,1,1
2021-01-10,Corn,Florida,295.76,24.4,16.3,0,None,220.9,4,1
2021-01-10,Coconuts,California,100.0,17.6,9.9,0,None,100.27,2,1
2021-01-10,Coconuts,Florida,167.27,28.2,2.3,0,None,197.5,2,1
2021-01-17,Tomatoes,California,453.49,23.5,12.8,0,None,393.53,2,1
2021-01-17,Tomatoes,Florida,284.82,22.3,16.5,0,None,380.32,4,1
2021-01-17,Avocados,California,347.89,19.7,1.1,0,None,398.39,1,1
2021-01-17,Avocados,Florida,240.83,26.8,14.1,0,None,153.53,2,1
2021-01-17,Bananas,California,480.64,17.5,9.9,0,None,494.89,2,0
2021-01-17,Bananas,Florida,553.44,25.1,20.7,0,None,765.21,4,1
2021-01-17,Eggs,California,568.15,18.6,11.9,0,None,331.88,2,1
2021-01-17,Eggs,Florida,565.68,19.4,27.4,0,None,814.65,2,1
2021-01-17,Corn,California,245.28,17.5,14.1,0,None,177.65,1,1
2021-01-17,Corn,Florida,376.18,21.0,15.5,0,None,325.95,4,0
2021-01-17,Coconuts,California,133.73,15.5,20.2,0,None,100.36,2,0
2021-01-17,Coconuts,Florida,198.68,27.6,13.3,0,None,224.74,3,1
2021-01-24,Tomatoes,California,484.39,25.3,6.4,0,None,484.0,3,0
2021-01-24,Tomatoes,Florida,371.99,20.1,12.4,0,None,514.64,2,0
2021-01-24,Avocados,California,383.13,15.9,9.9,0,None,220.43,1,1
2021-01-24,Avocados,Florida,250.49,24.1,23.4,0,None,167.7,2,1
2021-01-24,Bananas,California,375.37,25.9,4.0,0,None,308.76,1,1
2021-01-24,Bananas,Florida,427.03,26.8,32.6,0,None,340.14,3,0
2021-01-24,Eggs,California,549.61,33.3,11.1,0,None,660.62,2,0
2021-01-24,Eggs,Florida,568.23,22.0,0.0,0,None,337.52,4,1
2021-01-24,Corn,California,207.43,20.4,6.2,0,None,111.77,3,1
2021-01-24,Corn,Florida,358.19,25.6,4.1,0,None,454.89,2,1
2021-01-24,Coconuts,California,112.84,23.1,16.5,0,None,72.03,1,0
2021-01-24,Coconuts,Florida,179.75,21.5,0.0,0,None,223.62,3,1
2021-01-31,Tomatoes,California,398.33,27.3,6.0,0,None,298.85,2,1
2021-01-31,Tomatoes,Florida,348.21,26.7,36.5,0,None,402.92,2,1
2021-01-31,Avocados,California,313.56,20.9,14.0,0,None,161.29,2,1
